seq_idx,DTW,ADE,RotErr,SuccessRate,Dispersion
1405,2.797877105720433,2.5050943717360497,1.6473743348339922,5.0,1.0220032185316086
1408,2.5892464349370665,2.371537685394287,1.9245073307950604,15.0,0.9235385805368423
1411,2.461964862201285,2.2148923948407173,2.440066915608576,10.0,1.0355712845921516
1414,1.6472536408655398,1.552891917526722,2.5677825495094124,85.0,1.0824227705597878
1417,1.5115134099529335,1.5902895480394363,2.7289094904317466,85.0,1.0543068870902061
1420,1.2886802456881388,1.8302839249372482,4.216932839997176,100.0,1.5755552798509598
1423,1.5634640703924236,2.6336178183555603,3.5155478654663965,75.0,1.385702472180128
1426,1.1544511098962005,2.0470397546887398,3.423632411764302,80.0,1.611454039812088
1429,1.1907168878603134,2.164386957883835,3.0621781078851216,85.0,1.3047726824879646
1432,1.194304927770274,2.062945067882538,2.6606210545702713,90.0,1.1861534789204597
1435,1.0690365914293138,1.7718752846121788,2.0109290962855706,90.0,1.1764009483158588
1438,0.9096477670867863,1.460321992635727,1.3140907780583702,95.0,0.9109820239245892
1441,0.7158293108635166,1.1344491504132748,1.451479453633208,100.0,0.8768124505877495
1444,0.8067800705799301,1.2862510979175568,1.8114682962412298,95.0,1.020592451095581
1447,0.7255748205130551,1.157018356025219,1.6561160686355507,95.0,0.7559084333479404
1450,0.5104417379078138,0.779971107840538,1.4918753050576599,100.0,0.6356444209814072
1453,0.5577876702463849,0.874276552349329,1.9737000165805114,100.0,0.7146252784878016
1456,0.5511265199303471,0.8341356180608273,2.1731422702560614,100.0,0.5593761801719666
1459,0.66696825612957,1.0278718546032906,3.0208333959684373,95.0,0.8104752749204636
1462,0.5470123509633981,0.838276743888855,2.794144229687405,100.0,0.5911259911954403
1465,1.096833535818745,1.978808455169201,6.3679592228130355,80.0,1.5674879774451256
1468,1.068111445537614,1.944512501358986,6.886172537917237,75.0,1.5438568778336048
1471,1.2408692176848277,2.2682836279273033,8.236200110006184,75.0,1.342358160763979
1474,0.62532073021772,1.2157080695033073,5.642269635814541,95.0,1.1041870340704918
1477,0.7562712374588695,1.5603231266140938,7.987051628609841,85.0,1.3340664096176624
1480,0.7161454095914175,1.5233811922371387,10.833343952157279,65.0,1.4137576334178448
1483,0.7775682480958221,1.5644902363419533,18.05528861278473,35.0,1.5461647883057594
1486,1.0555917778363455,1.9108673557639122,18.724611088222286,20.0,1.5372429974377155
1489,1.1667704837847717,1.6141900792717934,14.278199573117812,50.0,1.4178961515426636
1492,1.389751621290962,1.6435954719781876,7.835875367705219,95.0,0.8147792890667915
1495,1.3209397239959026,1.6508715227246284,5.1688734310830515,100.0,0.4439856857061386
1498,1.0502544903930724,1.5977857634425163,4.823043966137017,100.0,0.5001218058168888
1501,0.7494400765833987,1.4053059741854668,4.875971689975258,100.0,0.4109059926122427
1504,0.6171838369037458,0.6676460150629282,4.910450811939678,100.0,0.4141835030168295
